,group,usr1-1,usr1-1,usr1-1,usr10-5,usr10-5,usr10-5,usr11-1,usr11-1,usr11-1,usr12-2,usr12-2,usr12-2,usr13-3,usr13-3,usr13-3,usr14-4,usr14-4,usr14-4,usr15-5,usr15-5,usr15-5,usr2-2,usr2-2,usr2-2,usr3-3,usr3-3,usr3-3,usr4-4,usr4-4,usr4-4,usr5-5,usr5-5,usr5-5,usr6-1,usr6-1,usr6-1,usr7-2,usr7-2,usr7-2,usr8-3,usr8-3,usr8-3,usr9-4,usr9-4,usr9-4
,,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type
test 28,task-oriented,7.0,5.0,5.0,,,,5.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,5.0,,,,,,,,,
test 52,task-oriented,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,4.0,4.0,5.0,,,,,,,,,,,,,5.0,3.0,4.0,,,,,,
test 96,task-oriented,,,,,,,,,,,,,3.0,5.0,4.0,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,5.0,5.0,6.0,,,
test 129,task-oriented,,,,,,,,,,,,,,,,4.0,3.0,3.0,,,,,,,,,,6.0,6.0,5.0,,,,,,,,,,,,,5.0,5.0,5.0
test 102,task-oriented,,,,6.0,6.0,6.0,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,7.0,6.0,6.0,,,,,,,,,,,,
task1 test 290,task-oriented,3.0,6.0,6.0,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,
task1 test 428,task-oriented,,,,,,,,,,3.0,5.0,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,5.0,3.0,5.0,,,,,,
task1 test 555,task-oriented,,,,,,,,,,,,,4.0,5.0,5.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,5.0,5.0,5.0,,,
task1 test 564,task-oriented,,,,,,,,,,,,,,,,4.0,4.0,3.0,,,,,,,,,,3.0,4.0,4.0,,,,,,,,,,,,,4.0,4.0,3.0
task1 test 894,task-oriented,,,,6.0,6.0,5.0,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,3.0,4.0,6.0,,,,,,,,,,,,
jason-mammoth,non-task-oriented,5.0,5.0,5.0,,,,5.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,
jason-clone,non-task-oriented,,,,,,,,,,4.0,3.0,3.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,4.0,4.0,3.0,,,,,,
jason-accident,non-task-oriented,,,,,,,,,,,,,5.0,5.0,4.0,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,4.0,4.0,4.0,,,
lynne-hunter,non-task-oriented,,,,,,,,,,,,,,,,4.0,3.0,2.0,,,,,,,,,,5.0,5.0,6.0,,,,,,,,,,,,,3.0,3.0,3.0
lynne-tipsy,non-task-oriented,,,,5.0,4.0,5.0,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,2.0,3.0,4.0,,,,,,,,,,,,
KB7RE015,non-task-oriented,5.0,3.0,5.0,,,,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,
KBKRE03G,non-task-oriented,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,3.0,3.0,5.0,,,,,,
KDARE00G,non-task-oriented,,,,,,,,,,,,,5.0,4.0,5.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,4.0,4.0,4.0,,,
KE2RE00Y,non-task-oriented,,,,,,,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,3.0,3.0,4.0,,,,,,,,,,,,,5.0,5.0,5.0
KBERE00G,non-task-oriented,,,,5.0,5.0,4.0,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,
practice,practice,6.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0
