,group,Alpha,Alpha,Alpha,Beta,Beta,Beta
,,da,ap,ap type,da,ap,ap type
test 102,kvret,0.8511931509117139,0.5,0.6722048430077627,0.9191062084570782,0.7333333333333334,0.823539501217797
test 129,kvret,0.8300424893776556,0.3398058252427185,0.5815294465235374,0.913303567558195,0.7037037037037037,0.8003554384073164
test 28,kvret,0.8020836196706891,0.44444444444444453,0.6123931041343507,0.8960836985720345,0.7083333333333335,0.7964992566309077
test 52,kvret,0.3709739368998627,0.13615023474178412,0.2528099459070621,0.6812999315423134,0.5555555555555556,0.6185037756427623
test 96,kvret,0.595147090401546,0.3292682926829268,0.4709509454645108,0.8000233345000582,0.6491228070175439,0.7316513761467891
mean,kvret,0.6898880574522935,0.3499337594223747,0.5179776570074448,0.8419633481259359,0.6700097465886939,0.7541098696091144
task1 test 290,babl,0.4596382102148995,0.10256410256410264,0.280596362139494,0.7280981270698246,0.5333333333333334,0.6320187621317017
task1 test 428,babl,0.6049030029231997,0.038461538461538436,0.3166431202628496,0.79450993168266,0.5454545454545456,0.6618320047239445
task1 test 555,babl,0.18356091268958763,0.125,0.1542019560395239,0.5851526410471981,0.5833333333333335,0.5842873001006004
task1 test 564,babl,0.4075880622532875,0.28205128205128205,0.3455177974010144,0.688920927137629,0.6491228070175441,0.6685301716765245
task1 test 894,babl,0.45720702505303634,0.6363636363636364,0.5450894162207507,0.7114574362678372,0.8039215686274511,0.7564959804930088
mean,babl,0.42257944262680214,0.23688811188811193,0.32840973041272653,0.7016278126410298,0.6230331175532415,0.660632843825156
jason-accident,scose,0.3879837812707815,-0.021937842778793293,0.15733177907943685,0.70944834397142,0.5396825396825394,0.6117254313388538
jason-clone,scose,0.056845594344014816,-0.025000000000000133,0.016876546304671725,0.5433362866921405,0.4957928802588991,0.5202969589358528
jason-mammoth,scose,0.21834472543506211,0.09853658536585352,0.16076888671747658,0.610513529045607,0.5777777777777775,0.59428717210037
lynne-hunter,scose,0.268430211349589,-0.10795902285263992,0.09166213099033171,0.6392928940935763,0.46418499717992145,0.5562159484893515
lynne-tipsy,scose,0.49945677451488335,0.16838487972508598,0.3239444062780753,0.7431474872085024,0.6015325670498085,0.6656857239475451
mean,scose,0.2862122173828662,0.022404919891901232,0.15011674987399842,0.6491477082022492,0.5357941523897892,0.5896422469623946
KB7RE015,cabnc,0.4152116785967631,0.0,0.20290416987307514,0.6938809094981673,0.48717948717948756,0.5871491549681513
KBERE00G,cabnc,0.13981265797690434,0.012820512820512886,0.07317401457692596,0.5815976240067886,0.5175438596491232,0.5480607547481877
KBKRE03G,cabnc,0.2950271550049248,0.016528925619834656,0.14947153909919875,0.6388888888888888,0.49999999999999967,0.5660331429641416
KDARE00G,cabnc,0.0381091269295325,-0.1282051282051282,-0.047938842141586724,0.5564627274471834,0.37254901960784315,0.4698866363871349
KE2RE00Y,cabnc,0.2764458248838463,0.326530612244898,0.30457326086462144,0.627326934264107,0.7142857142857143,0.6799769767609181
mean,cabnc,0.23292128867839423,0.045534984496023466,0.1364368284544469,0.619631416821027,0.5183116161444337,0.5702213331657067
